Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
1, Earl, heuristic, Ernie, Earl, heuristic, heuristic, 0, 9, 26, 36, 29
1, Darlene, shortestChain, Darlene, Merlin, shortestChain, heuristic, 0, 9, 26, 36, 29
1, Lorretta, shortestChain, Milan, Lorretta, shortestChain, shortestChain, 0, 9, 25, 37, 29
1, Franklin, heuristic, Orlando, Franklin, greedy, heuristic, 0, 9, 25, 37, 29
1, Desmond, heuristic, Yuonne, Desmond, greedy, heuristic, 0, 8, 26, 37, 29
1, Merissa, heuristic, Jeremy, Merissa, doubleDealing, heuristic, 0, 7, 27, 37, 29
1, Chastity, doubleDealing, Chastity, Ellyn, doubleDealing, heuristic, 0, 7, 28, 37, 28
1, Sunny, doubleDealing, Magan, Sunny, heuristic, doubleDealing, 0, 7, 27, 37, 29
1, Magaly, shortestChain, Magaly, Artie, shortestChain, shortestChain, 0, 7, 26, 37, 30
1, Leticia, doubleDealing, Andres, Leticia, doubleDealing, doubleDealing, 0, 7, 26, 37, 30
1, Porter, heuristic, Porter, Marybelle, heuristic, doubleDealing, 0, 7, 26, 37, 30
1, Delsie, heuristic, Delsie, Sachiko, heuristic, greedy, 0, 7, 27, 37, 29
1, Jerilyn, heuristic, Jerilyn, Carson, heuristic, doubleDealing, 0, 6, 28, 37, 29
1, Melissa, doubleDealing, Creola, Melissa, greedy, doubleDealing, 0, 6, 29, 37, 28
1, Lino, heuristic, Janelle, Lino, greedy, heuristic, 0, 5, 29, 37, 29
1, Mario, shortestChain, Jamey, Mario, shortestChain, shortestChain, 0, 4, 30, 37, 29
1, Kirby, doubleDealing, Kirby, Alonso, doubleDealing, shortestChain, 0, 4, 30, 37, 29
1, Sammy, shortestChain, Robby, Sammy, greedy, shortestChain, 0, 4, 30, 36, 30
1, Fallon, shortestChain, Fallon, Kenyatta, shortestChain, shortestChain, 0, 3, 30, 37, 30
1, Chanda, doubleDealing, Bobby, Chanda, shortestChain, doubleDealing, 0, 3, 30, 37, 30
1, Lisa, doubleDealing, Lisa, Julian, doubleDealing, heuristic, 0, 3, 30, 36, 31
1, Sean, doubleDealing, Sean, Marta, doubleDealing, shortestChain, 0, 3, 29, 36, 32
1, Cherelle, doubleDealing, Cherelle, Leila, doubleDealing, shortestChain, 0, 3, 29, 35, 33
1, None, None, Audria, Tinisha, heuristic, shortestChain, 0, 3, 29, 34, 34
1, Jerica, heuristic, Jerica, Alfreda, heuristic, doubleDealing, 0, 3, 29, 34, 34
1, Garland, doubleDealing, Garland, Bill, doubleDealing, greedy, 0, 3, 30, 34, 33
1, Doloris, doubleDealing, Doloris, Lynn, doubleDealing, heuristic, 0, 2, 30, 34, 34
1, Eugene, shortestChain, Hunter, Eugene, shortestChain, shortestChain, 0, 2, 29, 34, 35
1, Andy, doubleDealing, Kermit, Andy, heuristic, doubleDealing, 0, 2, 29, 34, 35
1, Laurence, greedy, Guadalupe, Laurence, greedy, greedy, 0, 2, 28, 34, 36
1, Emelina, doubleDealing, Emelina, Dong, doubleDealing, doubleDealing, 0, 2, 28, 34, 36
1, Gerry, shortestChain, Gerry, Errol, shortestChain, shortestChain, 0, 2, 28, 34, 36
1, Damion, doubleDealing, Madusa, Damion, doubleDealing, doubleDealing, 0, 2, 28, 34, 36
1, Alice, doubleDealing, Tyron, Alice, doubleDealing, doubleDealing, 0, 2, 28, 34, 36
2, Sonny, doubleDealing, Sonny, Jewel, doubleDealing, shortestChain, 0, 2, 28, 34, 36
2, None, None, Leticia, Mario, doubleDealing, shortestChain, 0, 2, 28, 33, 37
2, Cupid, shortestChain, Cupid, Carson, shortestChain, heuristic, 0, 2, 28, 33, 37
2, Earl, heuristic, Susan, Earl, shortestChain, heuristic, 0, 2, 27, 34, 37
2, Garland, doubleDealing, Jeremy, Garland, heuristic, doubleDealing, 0, 2, 28, 33, 37
